                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.59272,                  0.819,                0.77268,                0.97905,                0.49096,                0.43636,                0.40711,                0.30817,                0.49096,                0.43636,                0.41873,                0.31313,                   1.28,                 2.0727,                 2.0616,                 1.6688,              0.0084952,              0.0084952,              0.0084952
                     78,                0.58602,                0.81821,                  0.786,                0.97923,                0.51735,                0.45455,                0.38524,                0.23228,                0.47596,                0.41818,                0.34964,                0.22938,                 1.4718,                 2.6594,                 2.1549,                 1.8135,              0.0084754,              0.0084754,              0.0084754
                     79,                 0.5775,                0.80626,                0.76801,                0.97881,                0.56346,                0.45455,                 0.4585,                0.33191,                0.51637,                0.41818,                0.41718,                0.32459,                 1.2963,                  2.154,                 2.0928,                 1.6088,              0.0084556,              0.0084556,              0.0084556
                     80,                0.57555,                0.82109,                0.74695,                0.97222,                0.65014,                    0.4,                0.42709,                0.33282,                0.68483,                0.39518,                 0.4135,                0.32287,                 1.1416,                 1.9362,                 2.1006,                 1.4961,              0.0084358,              0.0084358,              0.0084358
                     81,                0.58163,                0.82625,                0.75069,                0.97725,                0.53411,                    0.4,                0.36709,                0.25036,                 0.5311,                0.36364,                0.34532,                0.26344,                  1.242,                 1.8642,                 2.4388,                 1.5946,               0.008416,               0.008416,               0.008416
                     82,                 0.5627,                0.80568,                0.74722,                0.97529,                0.48613,                0.49091,                0.40157,                0.28804,                0.47256,                0.45455,                0.38287,                0.29449,                 1.2991,                 2.1235,                  2.284,                 1.6603,              0.0083962,              0.0083962,              0.0083962
                     83,                0.56771,                0.81193,                0.76638,                0.98233,                0.38239,                0.36364,                0.32047,                0.24131,                0.38256,                0.34928,                0.31135,                0.24378,                 1.3461,                 2.5161,                 2.5561,                 1.6848,              0.0083764,              0.0083764,              0.0083764
                     84,                0.57422,                0.77293,                0.73371,                0.96889,                0.42231,                0.45455,                0.37295,                0.27704,                0.40438,                0.43636,                0.35887,                 0.2876,                 1.2429,                 2.0255,                 2.2982,                 1.6148,              0.0083566,              0.0083566,              0.0083566
                     85,                0.56427,                0.77949,                0.76384,                0.96833,                0.48199,                0.49091,                0.39301,                0.27633,                0.46869,                0.47273,                0.38745,                 0.2835,                 1.2943,                 2.1817,                 2.2552,                 1.6586,              0.0083368,              0.0083368,              0.0083368
                     86,                0.56203,                 0.7696,                0.75467,                0.97262,                0.55831,                0.41818,                0.41093,                0.29709,                 0.5322,                    0.4,                0.37574,                0.30028,                 1.3126,                 2.5458,                 2.0543,                 1.6787,               0.008317,               0.008317,               0.008317
                     87,                0.57281,                0.80961,                0.73931,                0.97336,                 0.7182,                0.43636,                0.48579,                0.30955,                0.62842,                0.38182,                0.40192,                0.30176,                 1.3462,                 2.2304,                 2.0078,                  1.749,              0.0082972,              0.0082972,              0.0082972
                     88,                0.57224,                0.77828,                0.72032,                0.96959,                0.37999,                0.43636,                0.36132,                0.28066,                 0.5854,                0.30909,                0.33427,                0.28435,                 1.0923,                 2.5538,                 2.2693,                 1.3793,              0.0082774,              0.0082774,              0.0082774
                     89,                0.55833,                0.75653,                0.73359,                0.96345,                0.44128,                0.52727,                0.43868,                0.33048,                0.42022,                0.51399,                0.42539,                0.33087,                 1.2027,                  2.059,                 2.0891,                 1.5604,              0.0082576,              0.0082576,              0.0082576
                     90,                0.54702,                0.75532,                0.70338,                0.95785,                 0.4771,                    0.4,                0.40863,                 0.3067,                0.49258,                 0.3884,                0.38999,                0.30783,                 1.3476,                   2.38,                 2.2722,                 1.6777,              0.0082378,              0.0082378,              0.0082378
                     91,                0.55331,                0.76766,                0.71567,                0.97634,                0.56486,                 0.3069,                0.32806,                 0.2545,                0.56486,                 0.3069,                0.31602,                0.25103,                 1.1687,                 1.9595,                 2.5981,                 1.5565,               0.008218,               0.008218,               0.008218
                     92,                0.56236,                0.77076,                0.70865,                0.96712,                0.42933,                0.49091,                0.41582,                0.32482,                0.53997,                0.36364,                0.38673,                0.31712,                 1.2544,                 2.4996,                 1.9881,                 1.7076,              0.0081982,              0.0081982,              0.0081982
                     93,                0.55859,                0.75797,                0.72483,                0.97063,                0.44106,                0.45918,                0.38245,                0.27082,                0.58746,                0.32727,                0.35288,                0.26303,                 1.4385,                 3.0496,                  2.134,                 1.7807,              0.0081784,              0.0081784,              0.0081784
                     94,                0.56315,                0.77793,                0.71082,                0.97268,                0.61668,                0.38182,                0.43043,                0.29968,                0.55795,                0.34545,                0.37802,                0.29534,                 1.4916,                 2.3911,                 2.1613,                 1.8754,              0.0081586,              0.0081586,              0.0081586
                     95,                 0.5459,                0.76564,                0.68146,                0.95552,                0.60483,                0.30909,                0.38134,                0.31242,                0.60483,                0.30909,                0.36587,                0.30009,                 1.2956,                 2.6284,                  2.056,                 1.5357,              0.0081388,              0.0081388,              0.0081388
                     96,                0.55691,                0.75796,                0.71055,                0.96177,                0.50033,                0.38182,                 0.3672,                0.27203,                0.50033,                0.38182,                 0.3732,                0.27951,                 1.4726,                 2.5718,                 2.3517,                 1.8108,               0.008119,               0.008119,               0.008119
                     97,                 0.5527,                0.75538,                0.70164,                0.96296,                0.59552,                0.38182,                0.40914,                 0.3097,                0.59552,                0.38182,                0.42329,                0.31812,                 1.2327,                 2.1204,                 2.0748,                  1.606,              0.0080992,              0.0080992,              0.0080992
                     98,                0.53512,                  0.728,                  0.672,                0.95589,                0.45974,                0.43636,                0.38882,                0.30095,                0.53218,                0.38182,                0.39115,                   0.31,                 1.2391,                 2.2896,                 2.2969,                 1.5868,              0.0080794,              0.0080794,              0.0080794
                     99,                0.54977,                0.76021,                0.67379,                0.96381,                0.53873,                0.38182,                 0.3775,                0.30211,                0.53873,                0.38182,                 0.3721,                0.30808,                 1.1981,                 1.8391,                 2.3055,                 1.5312,              0.0080596,              0.0080596,              0.0080596
                    100,                0.54366,                0.75325,                0.68285,                0.95299,                0.38467,                0.43636,                0.34756,                0.24658,                0.58156,                0.30909,                0.34602,                0.25043,                 1.2845,                 2.0823,                 2.2753,                  1.699,              0.0080398,              0.0080398,              0.0080398
                    101,                 0.5482,                0.76714,                0.70244,                0.95614,                0.36857,                0.45455,                0.35486,                0.28285,                0.53103,                0.32727,                0.35068,                0.27965,                 1.1633,                 2.0923,                 2.3378,                 1.5114,                0.00802,                0.00802,                0.00802
                    102,                0.54459,                0.75338,                0.66888,                0.95695,                0.59765,                0.32727,                0.36496,                0.28075,                0.56847,                0.36364,                0.36765,                0.28103,                 1.3006,                 2.1936,                 2.2528,                  1.659,              0.0080002,              0.0080002,              0.0080002
                    103,                0.53851,                0.72902,                0.68258,                0.96231,                0.56764,                0.38182,                0.40716,                0.30515,                0.60102,                    0.4,                0.41516,                0.31195,                 1.3647,                 1.7195,                 2.1578,                 1.7619,              0.0079804,              0.0079804,              0.0079804
                    104,                0.54306,                0.74185,                0.68087,                0.95937,                0.69239,                0.34545,                0.44179,                0.31195,                0.69239,                0.34545,                0.38744,                0.31582,                 1.2728,                 2.0352,                 2.0022,                 1.6563,              0.0079606,              0.0079606,              0.0079606
