                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.60176,                 0.8419,                 0.8095,                0.99554,                0.79566,                0.56982,                0.65441,                0.53447,                0.78725,                 0.5641,                 0.6496,                0.54955,                0.74277,                 1.2522,                 1.1679,                 1.1449,              0.0085942,              0.0085942,              0.0085942
                     73,                0.59532,                0.84807,                0.80723,                0.98752,                0.73255,                0.59146,                0.62216,                0.50156,                 0.7401,                0.59756,                0.63021,                0.53174,                0.75628,                  1.336,                 1.2024,                 1.1621,              0.0085744,              0.0085744,              0.0085744
                     74,                0.57723,                0.79683,                0.78937,                0.97162,                0.74832,                0.56203,                0.64277,                0.54256,                0.74832,                0.56203,                0.64143,                 0.5502,                0.70279,                 1.3327,                 1.1618,                 1.0894,              0.0085546,              0.0085546,              0.0085546
                     75,                0.60503,                0.83985,                0.81686,                0.98903,                0.71898,                0.62404,                0.67349,                0.54449,                0.71898,                0.62404,                0.67199,                0.57903,                0.75431,                 1.3376,                 1.1063,                 1.1548,              0.0085348,              0.0085348,              0.0085348
                     76,                0.58567,                0.81707,                0.79339,                0.98346,                0.72402,                0.61585,                0.64595,                 0.5329,                0.72402,                0.61585,                0.65251,                0.55485,                0.73342,                 1.2178,                 1.1631,                 1.1333,               0.008515,               0.008515,               0.008515
                     77,                0.60889,                 0.8605,                0.80773,                0.99703,                0.70962,                0.63415,                 0.6449,                0.54139,                0.71799,                0.64024,                0.65179,                 0.5563,                0.74372,                  1.345,                 1.2028,                 1.1306,              0.0084952,              0.0084952,              0.0084952
                     78,                0.58174,                0.83657,                0.80151,                0.96377,                0.77751,                0.60976,                0.66479,                0.55383,                0.77751,                0.60976,                0.66524,                 0.5661,                0.70956,                 1.2563,                 1.1793,                 1.1193,              0.0084754,              0.0084754,              0.0084754
                     79,                0.58576,                0.81097,                0.76603,                0.97899,                0.71466,                0.62805,                0.66091,                0.54827,                0.71466,                0.62805,                0.66366,                0.57394,                0.75795,                 1.3476,                 1.1449,                 1.1733,              0.0084556,              0.0084556,              0.0084556
                     80,                0.57542,                0.81545,                0.77383,                0.97599,                0.63767,                0.59756,                0.63576,                0.52449,                0.63767,                0.59756,                0.63839,                0.54532,                0.74534,                 1.3229,                 1.1563,                 1.1607,              0.0084358,              0.0084358,              0.0084358
                     81,                0.57271,                0.79909,                0.78239,                0.97269,                0.71213,                0.57927,                0.62272,                 0.5202,                0.72147,                0.58537,                0.63327,                0.53354,                0.71234,                 1.2255,                 1.2114,                 1.1231,               0.008416,               0.008416,               0.008416
